source,chemistry,form_factor,temperature_C,soc_window,charge_c_rate,discharge_c_rate,series_count,small_group_flag,median_last_observed_cycle,max_last_observed_cycle,median_final_retention_pct,median_min_retention_pct,reached_80pct_count,reached_80pct_rate,reached_70pct_count,reached_70pct_rate,observed_censored_80pct_count,observed_censored_70pct_count,median_persistent_cycle_below_80pct,median_persistent_cycle_below_70pct,warning_series_count,warning_series_rate,invalid_series_count,analysis_candidate_series_count,group_quality_message
SNL LFP,LFP,18650,35.0,0-100,0.5,2.0,2,True,3727.0,3856.0,0.0,0.0,2,100.0,2,100.0,0,0,3506.0,,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NCA,NCA,18650,15.0,0-100,0.5,1.0,2,True,720.0,918.0,0.0,0.0,2,100.0,2,100.0,0,0,473.5,,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NCA,NCA,18650,15.0,0-100,0.5,2.0,2,True,850.0,916.0,0.0,0.0,2,100.0,2,100.0,0,0,237.5,529.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NCA,NCA,18650,25.0,0-100,0.5,0.5,2,True,714.5,916.0,11.192368839427662,0.0,2,100.0,2,100.0,0,0,139.5,261.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NCA,NCA,18650,25.0,0-100,0.5,1.0,4,False,588.0,654.0,0.0,0.0,4,100.0,4,100.0,0,0,409.5,,4,100.0,0,0,4 series with warnings
SNL NCA,NCA,18650,25.0,0-100,0.5,2.0,2,True,786.0,786.0,0.0,0.0,2,100.0,2,100.0,0,0,376.0,588.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NCA,NCA,18650,25.0,20-80,0.5,0.5,4,False,1293.0,1529.0,0.0,0.0,4,100.0,4,100.0,0,0,5.0,5.0,4,100.0,0,0,4 series with warnings
SNL NCA,NCA,18650,25.0,40-60,0.5,0.5,2,True,6979.0,7878.0,0.0,0.0,2,100.0,2,100.0,0,0,4.0,4.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NCA,NCA,18650,35.0,0-100,0.5,1.0,4,False,515.0,654.0,0.0,0.0,4,100.0,4,100.0,0,0,402.0,638.0,4,100.0,0,0,4 series with warnings
SNL NCA,NCA,18650,35.0,0-100,0.5,2.0,2,True,720.0,786.0,0.0,0.0,2,100.0,2,100.0,0,0,263.0,565.5,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NMC,NMC,18650,15.0,0-100,0.5,1.0,2,True,513.0,513.0,0.0,0.0,2,100.0,2,100.0,0,0,182.0,422.5,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NMC,NMC,18650,15.0,0-100,0.5,2.0,2,True,389.0,389.0,0.0,0.0,2,100.0,2,100.0,0,0,142.0,365.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NMC,NMC,18650,25.0,0-100,0.5,0.5,2,True,616.0,679.0,23.30801104972376,0.0,2,100.0,2,100.0,0,0,298.0,,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NMC,NMC,18650,25.0,0-100,0.5,1.0,4,False,525.0,785.0,0.0,0.0,4,100.0,4,100.0,0,0,465.0,,4,100.0,0,0,4 series with warnings
SNL NMC,NMC,18650,25.0,0-100,0.5,2.0,2,True,991.0,1321.0,0.0,0.0,2,100.0,2,100.0,0,0,874.5,,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NMC,NMC,18650,25.0,0-100,0.5,3.0,4,False,714.0,905.0,0.0,0.0,4,100.0,4,100.0,0,0,598.0,,4,100.0,0,0,4 series with warnings
SNL NMC,NMC,18650,25.0,20-80,0.5,0.5,4,False,3495.5,4351.0,0.0,0.0,4,100.0,4,100.0,0,0,5.0,5.0,4,100.0,0,0,4 series with warnings
SNL NMC,NMC,18650,25.0,20-80,0.5,3.0,2,True,2576.0,3610.0,0.0,0.0,2,100.0,2,100.0,0,0,756.0,763.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NMC,NMC,18650,25.0,40-60,0.5,0.5,2,True,10136.0,11150.0,0.0,0.0,2,100.0,2,100.0,0,0,4.0,4.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NMC,NMC,18650,25.0,40-60,0.5,3.0,2,True,12033.5,12918.0,10.194009530292716,0.0,2,100.0,2,100.0,0,0,4.0,4.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL NMC,NMC,18650,35.0,0-100,0.5,1.0,4,False,786.0,786.0,0.0,0.0,4,100.0,4,100.0,0,0,590.5,,4,100.0,0,0,4 series with warnings
SNL NMC,NMC,18650,35.0,0-100,0.5,2.0,2,True,779.0,786.0,0.0,0.0,2,100.0,2,100.0,0,0,691.0,,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
UL-Purdue,NCA,18650,23.0,0-100,0.5,0.5,10,False,222.5,320.0,8.881905391994707,8.881905391994707,10,100.0,10,100.0,0,0,221.5,,5,50.0,0,5,5 series with warnings
UL-Purdue,NCA,18650,23.0,2.5-96.5,0.5,0.5,11,False,648.0,801.0,1.347190146266359,1.347190146266359,11,100.0,11,100.0,0,0,530.5,495.5,7,63.6364,0,4,7 series with warnings
UL-Purdue,NCA,pouch,25.0,0-100,1.0,1.0,1,True,486.0,486.0,0.0,0.0,1,100.0,1,100.0,0,0,227.0,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
