column_name,column_role,descriptor_family,elemental_property,aggregation,formula_or_definition,property_source,property_definition,unit,dtype,non_null_count,null_count,null_percentage,finite_count,unique_count,minimum,median,maximum,variance,constant,near_constant,primary_feature,forbidden_feature,evaluation_only,physical_rationale,interpretation_limit,coverage_status,quality_note
composition_dominant_fraction,primary_descriptor,stoichiometric,,,Derived from parsed composition or metadata.,derived,,unitless,float64,838,0,0.0,838,82,0.25,0.5714285714285714,0.875,0.01054429857960424,False,False,True,False,False,Captures composition balance and concentration spread.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_number_weighted_mean,primary_descriptor,elemental_aggregation,atomic_number,weighted_mean,weighted_mean of elemental property atomic_number using atomic fractions.,pymatgen.core.Element,Atomic number from pymatgen.core.Element.Z.,atomic number,float64,838,0,0.0,838,474,3.5061728395061724,13.149999999999999,46.0,75.86292596414194,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_number_minimum,primary_descriptor,elemental_aggregation,atomic_number,minimum,minimum of elemental property atomic_number using atomic fractions.,pymatgen.core.Element,Atomic number from pymatgen.core.Element.Z.,atomic number,float64,838,0,0.0,838,10,1.0,8.0,14.0,21.643047146006236,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_number_maximum,primary_descriptor,elemental_aggregation,atomic_number,maximum,maximum of elemental property atomic_number using atomic fractions.,pymatgen.core.Element,Atomic number from pymatgen.core.Element.Z.,atomic number,float64,838,0,0.0,838,46,26.0,26.0,94.0,353.83768035041953,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_number_range,primary_descriptor,elemental_aggregation,atomic_number,range,range of elemental property atomic_number using atomic fractions.,pymatgen.core.Element,Atomic number from pymatgen.core.Element.Z.,atomic number,float64,838,0,0.0,838,52,12.0,23.0,86.0,278.37692312073864,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_number_weighted_std,primary_descriptor,elemental_aggregation,atomic_number,weighted_std,weighted_std of elemental property atomic_number using atomic fractions.,pymatgen.core.Element,Atomic number from pymatgen.core.Element.Z.,atomic number,float64,838,0,0.0,838,534,3.016415991221828,6.901641330960664,35.608987629529715,42.64429407700762,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
pairwise_mismatch_atomic_number,primary_descriptor,pairwise_mismatch,atomic_number,pairwise_mismatch,sum_{i<j} x_i * x_j * abs(p_i - p_j).,pymatgen.core.Element,Atomic number from pymatgen.core.Element.Z.,atomic number,float64,838,0,0.0,838,519,0.921875,3.3061224489795915,17.666666666666664,10.434032967762976,False,False,True,False,False,Captures pairwise contrast between constituent element properties.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_mass_weighted_mean,primary_descriptor,elemental_aggregation,atomic_mass,weighted_mean,weighted_mean of elemental property atomic_mass using atomic fractions.,pymatgen.core.Element,Standard atomic mass from pymatgen.core.Element.atomic_mass.,amu,float64,838,0,0.0,838,548,6.407416790123457,27.185239999999997,111.94638666666665,438.48684649666217,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_mass_minimum,primary_descriptor,elemental_aggregation,atomic_mass,minimum,minimum of elemental property atomic_mass using atomic fractions.,pymatgen.core.Element,Standard atomic mass from pymatgen.core.Element.atomic_mass.,amu,float64,838,0,0.0,838,10,1.00794,15.9994,28.0855,81.5272306185448,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_mass_maximum,primary_descriptor,elemental_aggregation,atomic_mass,maximum,maximum of elemental property atomic_mass using atomic fractions.,pymatgen.core.Element,Standard atomic mass from pymatgen.core.Element.atomic_mass.,amu,float64,838,0,0.0,838,46,55.845,55.845,244.0,2549.6592184173205,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_mass_range,primary_descriptor,elemental_aggregation,atomic_mass,range,range of elemental property atomic_mass using atomic fractions.,pymatgen.core.Element,Standard atomic mass from pymatgen.core.Element.atomic_mass.,amu,float64,838,0,0.0,838,86,27.7595,48.903999999999996,226.01821,2131.593016806327,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_mass_weighted_std,primary_descriptor,elemental_aggregation,atomic_mass,weighted_std,weighted_std of elemental property atomic_mass using atomic fractions.,pymatgen.core.Element,Standard atomic mass from pymatgen.core.Element.atomic_mass.,amu,float64,838,0,0.0,838,547,6.74956331647783,14.895884919366837,96.1987433593563,324.1362115303171,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
pairwise_mismatch_atomic_mass,primary_descriptor,pairwise_mismatch,atomic_mass,pairwise_mismatch,sum_{i<j} x_i * x_j * abs(p_i - p_j).,pymatgen.core.Element,Standard atomic mass from pymatgen.core.Element.atomic_mass.,amu,float64,838,0,0.0,838,542,2.040025390625,7.000789062499999,47.425188333333324,76.66657392044262,False,False,True,False,False,Captures pairwise contrast between constituent element properties.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_row_weighted_mean,primary_descriptor,elemental_aggregation,periodic_row,weighted_mean,weighted_mean of elemental property periodic_row using atomic fractions.,pymatgen.core.Element,Periodic table row from pymatgen.core.Element.row.,period,float64,838,0,0.0,838,236,1.432098765432099,2.625,4.833333333333333,0.5373382863367485,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_row_minimum,primary_descriptor,elemental_aggregation,periodic_row,minimum,minimum of elemental property periodic_row using atomic fractions.,pymatgen.core.Element,Periodic table row from pymatgen.core.Element.row.,period,float64,838,0,0.0,838,3,1.0,2.0,3.0,0.2532851829278712,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_row_maximum,primary_descriptor,elemental_aggregation,periodic_row,maximum,maximum of elemental property periodic_row using atomic fractions.,pymatgen.core.Element,Periodic table row from pymatgen.core.Element.row.,period,float64,838,0,0.0,838,4,4.0,4.0,7.0,0.8698757127152383,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_row_range,primary_descriptor,elemental_aggregation,periodic_row,range,range of elemental property periodic_row using atomic fractions.,pymatgen.core.Element,Periodic table row from pymatgen.core.Element.row.,period,float64,838,0,0.0,838,5,1.0,2.0,5.0,0.6070610784855406,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_row_weighted_std,primary_descriptor,elemental_aggregation,periodic_row,weighted_std,weighted_std of elemental property periodic_row using atomic fractions.,pymatgen.core.Element,Periodic table row from pymatgen.core.Element.row.,period,float64,838,0,0.0,838,285,0.2290614236454256,0.7284313590846836,1.8294640678379568,0.07597048290385923,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_group_weighted_mean,primary_descriptor,elemental_aggregation,periodic_group,weighted_mean,weighted_mean of elemental property periodic_group using atomic fractions.,pymatgen.core.Element,Periodic table group from pymatgen.core.Element.group.,group,float64,838,0,0.0,838,293,3.125,12.09959349593496,15.1875,4.310599981811466,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_group_minimum,primary_descriptor,elemental_aggregation,periodic_group,minimum,minimum of elemental property periodic_group using atomic fractions.,pymatgen.core.Element,Periodic table group from pymatgen.core.Element.group.,group,float64,838,0,0.0,838,8,1.0,2.5,8.0,6.308411321421045,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_group_maximum,primary_descriptor,elemental_aggregation,periodic_group,maximum,maximum of elemental property periodic_group using atomic fractions.,pymatgen.core.Element,Periodic table group from pymatgen.core.Element.group.,group,float64,838,0,0.0,838,4,14.0,16.0,17.0,0.9477218744481974,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_group_range,primary_descriptor,elemental_aggregation,periodic_group,range,range of elemental property periodic_group using atomic fractions.,pymatgen.core.Element,Periodic table group from pymatgen.core.Element.group.,group,float64,838,0,0.0,838,10,6.0,12.0,15.0,8.869948337045246,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
periodic_group_weighted_std,primary_descriptor,elemental_aggregation,periodic_group,weighted_std,weighted_std of elemental property periodic_group using atomic fractions.,pymatgen.core.Element,Periodic table group from pymatgen.core.Element.group.,group,float64,838,0,0.0,838,337,1.5830896498638898,4.396336132536288,7.165607840775846,1.2940295573880134,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
electronegativity_weighted_mean,primary_descriptor,elemental_aggregation,electronegativity,weighted_mean,weighted_mean of elemental property electronegativity using atomic fractions.,pymatgen.core.Element,Pauling electronegativity from pymatgen.core.Element.X.,Pauling,float64,838,0,0.0,838,511,1.379375,2.5404166666666663,3.0087499999999996,0.21258106445778338,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
electronegativity_minimum,primary_descriptor,elemental_aggregation,electronegativity,minimum,minimum of elemental property electronegativity using atomic fractions.,pymatgen.core.Element,Pauling electronegativity from pymatgen.core.Element.X.,Pauling,float64,838,0,0.0,838,34,0.79,1.14,1.83,0.09616125961916373,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
electronegativity_maximum,primary_descriptor,elemental_aggregation,electronegativity,maximum,maximum of elemental property electronegativity using atomic fractions.,pymatgen.core.Element,Pauling electronegativity from pymatgen.core.Element.X.,Pauling,float64,838,0,0.0,838,14,1.9,3.44,3.44,0.5152730281782401,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
electronegativity_range,primary_descriptor,elemental_aggregation,electronegativity,range,range of elemental property electronegativity using atomic fractions.,pymatgen.core.Element,Pauling electronegativity from pymatgen.core.Element.X.,Pauling,float64,838,0,0.0,838,79,0.06999999999999984,1.8299999999999998,2.65,0.7687502600235816,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
electronegativity_weighted_std,primary_descriptor,elemental_aggregation,electronegativity,weighted_std,weighted_std of elemental property electronegativity using atomic fractions.,pymatgen.core.Element,Pauling electronegativity from pymatgen.core.Element.X.,Pauling,float64,838,0,0.0,838,524,0.025860201081971432,0.8011258835969977,1.1525231628178925,0.12359968146180024,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
pairwise_mismatch_electronegativity,primary_descriptor,pairwise_mismatch,electronegativity,pairwise_mismatch,sum_{i<j} x_i * x_j * abs(p_i - p_j).,pymatgen.core.Element,Pauling electronegativity from pymatgen.core.Element.X.,Pauling,float64,838,0,0.0,838,521,0.011199999999999977,0.3985269628099173,0.6048015122873347,0.03425764512906028,False,False,True,False,False,Captures pairwise contrast between constituent element properties.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
mendeleev_number_weighted_mean,primary_descriptor,elemental_aggregation,mendeleev_number,weighted_mean,weighted_mean of elemental property mendeleev_number using atomic fractions.,pymatgen.core.Element,Mendeleev number from pymatgen.core.Element.mendeleev_no.,ordinal,float64,838,0,0.0,838,463,51.0,78.6923076923077,99.17283950617282,114.21519274678779,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
mendeleev_number_minimum,primary_descriptor,elemental_aggregation,mendeleev_number,minimum,minimum of elemental property mendeleev_number using atomic fractions.,pymatgen.core.Element,Mendeleev number from pymatgen.core.Element.mendeleev_no.,ordinal,float64,838,0,0.0,838,38,8.0,23.0,61.0,425.95164216426195,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
mendeleev_number_maximum,primary_descriptor,elemental_aggregation,mendeleev_number,maximum,maximum of elemental property mendeleev_number using atomic fractions.,pymatgen.core.Element,Mendeleev number from pymatgen.core.Element.mendeleev_no.,ordinal,float64,838,0,0.0,838,10,85.0,101.0,103.0,56.69245447451315,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
mendeleev_number_range,primary_descriptor,elemental_aggregation,mendeleev_number,range,range of elemental property mendeleev_number using atomic fractions.,pymatgen.core.Element,Mendeleev number from pymatgen.core.Element.mendeleev_no.,ordinal,float64,838,0,0.0,838,54,24.0,63.5,93.0,580.687728197037,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
mendeleev_number_weighted_std,primary_descriptor,elemental_aggregation,mendeleev_number,weighted_std,weighted_std of elemental property mendeleev_number using atomic fractions.,pymatgen.core.Element,Mendeleev number from pymatgen.core.Element.mendeleev_no.,ordinal,float64,838,0,0.0,838,541,4.242640687119285,23.326154243263243,42.26485041189977,69.87458493949308,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_radius_weighted_mean,primary_descriptor,elemental_aggregation,atomic_radius,weighted_mean,weighted_mean of elemental property atomic_radius using atomic fractions.,pymatgen.core.Element,Element.atomic_radius as provided by pymatgen; not an inferred ionic radius.,angstrom,float64,838,0,0.0,838,341,0.43827160493827155,0.9433333333333334,1.5199999999999998,0.049482933602078984,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_radius_minimum,primary_descriptor,elemental_aggregation,atomic_radius,minimum,minimum of elemental property atomic_radius using atomic fractions.,pymatgen.core.Element,Element.atomic_radius as provided by pymatgen; not an inferred ionic radius.,angstrom,float64,838,0,0.0,838,8,0.25,0.6,1.1,0.058924722033936935,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_radius_maximum,primary_descriptor,elemental_aggregation,atomic_radius,maximum,maximum of elemental property atomic_radius using atomic fractions.,pymatgen.core.Element,Element.atomic_radius as provided by pymatgen; not an inferred ionic radius.,angstrom,float64,838,0,0.0,838,12,1.4,1.45,2.6,0.0378945672729137,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_radius_range,primary_descriptor,elemental_aggregation,atomic_radius,range,range of elemental property atomic_radius using atomic fractions.,pymatgen.core.Element,Element.atomic_radius as provided by pymatgen; not an inferred ionic radius.,angstrom,float64,838,0,0.0,838,29,0.2999999999999998,0.85,2.0,0.07495175466077321,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
atomic_radius_weighted_std,primary_descriptor,elemental_aggregation,atomic_radius,weighted_std,weighted_std of elemental property atomic_radius using atomic fractions.,pymatgen.core.Element,Element.atomic_radius as provided by pymatgen; not an inferred ionic radius.,angstrom,float64,838,0,0.0,838,391,0.06959705453537524,0.3409543827683262,0.6901641330960665,0.009588318104171873,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
pairwise_mismatch_atomic_radius,primary_descriptor,pairwise_mismatch,atomic_radius,pairwise_mismatch,sum_{i<j} x_i * x_j * abs(p_i - p_j).,pymatgen.core.Element,Element.atomic_radius as provided by pymatgen; not an inferred ionic radius.,angstrom,float64,838,0,0.0,838,380,0.028515625,0.1725,0.33061224489795915,0.002679693270044456,False,False,True,False,False,Captures pairwise contrast between constituent element properties.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
first_ionization_energy_weighted_mean,primary_descriptor,elemental_aggregation,first_ionization_energy,weighted_mean,weighted_mean of elemental property first_ionization_energy using atomic fractions.,pymatgen.core.Element,First ionization energy from pymatgen.core.Element.ionization_energy.,eV,float64,838,0,0.0,838,548,6.7000960329268295,10.603207737909091,12.547330573875406,2.7986400484082967,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
first_ionization_energy_minimum,primary_descriptor,elemental_aggregation,first_ionization_energy,minimum,minimum of elemental property first_ionization_energy using atomic fractions.,pymatgen.core.Element,First ionization energy from pymatgen.core.Element.ionization_energy.,eV,float64,838,0,0.0,838,49,3.89390572743,5.93905,7.9024681,0.9227334594722948,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
first_ionization_energy_maximum,primary_descriptor,elemental_aggregation,first_ionization_energy,maximum,maximum of elemental property first_ionization_energy using atomic fractions.,pymatgen.core.Element,First ionization energy from pymatgen.core.Element.ionization_energy.,eV,float64,838,0,0.0,838,13,8.15168,13.618055,14.53413,6.633908464594588,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
first_ionization_energy_range,primary_descriptor,elemental_aggregation,first_ionization_energy,range,range of elemental property first_ionization_energy using atomic fractions.,pymatgen.core.Element,First ionization energy from pymatgen.core.Element.ionization_energy.,eV,float64,838,0,0.0,838,94,0.2492119000000006,5.971819,9.72414927257,8.582126427645216,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
first_ionization_energy_weighted_std,primary_descriptor,elemental_aggregation,first_ionization_energy,weighted_std,weighted_std of elemental property first_ionization_energy using atomic fractions.,pymatgen.core.Element,First ionization energy from pymatgen.core.Element.ionization_energy.,eV,float64,838,0,0.0,838,547,0.09968476000000025,2.7884334882317283,3.8661642592774377,1.458321901907122,False,False,True,False,False,Summarizes element-level physical property distribution by atomic fractions.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
pairwise_mismatch_first_ionization_energy,primary_descriptor,pairwise_mismatch,first_ionization_energy,pairwise_mismatch,sum_{i<j} x_i * x_j * abs(p_i - p_j).,pymatgen.core.Element,First ionization energy from pymatgen.core.Element.ionization_energy.,eV,float64,838,0,0.0,838,547,0.039873904000000106,1.3895636530612243,2.0225380421928167,0.4018787478294244,False,False,True,False,False,Captures pairwise contrast between constituent element properties.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
s_block_fraction,primary_descriptor,composition_category_fraction,,,Sum of atomic fractions for elements matching this category.,derived,,unitless,float64,838,0,0.0,838,81,0.0,0.008547008547008548,0.875,0.01046383233515861,False,False,True,False,False,Captures broad periodic-table block/category makeup.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
p_block_fraction,primary_descriptor,composition_category_fraction,,,Sum of atomic fractions for elements matching this category.,derived,,unitless,float64,838,0,0.0,838,145,0.05,0.6875,0.9487179487179488,0.04935768093102058,False,False,True,False,False,Captures broad periodic-table block/category makeup.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
d_block_fraction,primary_descriptor,composition_category_fraction,,,Sum of atomic fractions for elements matching this category.,derived,,unitless,float64,838,0,0.0,838,143,0.011764705882352941,0.16666666666666666,0.9166666666666666,0.05585444638361771,False,False,True,False,False,Captures broad periodic-table block/category makeup.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
f_block_fraction,primary_descriptor,composition_category_fraction,,,Sum of atomic fractions for elements matching this category.,derived,,unitless,float64,838,0,0.0,838,23,0.0,0.0,0.42857142857142855,0.009428843194408005,False,False,True,False,False,Captures broad periodic-table block/category makeup.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
transition_metal_fraction,primary_descriptor,composition_category_fraction,,,Sum of atomic fractions for elements matching this category.,derived,,unitless,float64,838,0,0.0,838,142,0.011764705882352941,0.16666666666666666,0.9166666666666666,0.056038828201404434,False,False,True,False,False,Captures broad periodic-table block/category makeup.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
metalloid_fraction,primary_descriptor,composition_category_fraction,,,Sum of atomic fractions for elements matching this category.,derived,,unitless,float64,838,0,0.0,838,110,0.011904761904761904,0.2,0.7142857142857143,0.01726628701014598,False,False,True,False,False,Captures broad periodic-table block/category makeup.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
descriptor_quality_status,quality_metadata,quality,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,1,,,,,True,True,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
descriptor_issue_count,quality_metadata,quality,,,Derived from parsed composition or metadata.,derived,,unitless,int64,838,0,0.0,838,1,0.0,0.0,0.0,0.0,True,True,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
descriptor_issues,quality_metadata,quality,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,1,,,,,True,True,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
crystal_system_group,evaluation_only,structure_group_feasibility,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,7,,,,,False,False,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
space_group_number_group,evaluation_only,structure_group_feasibility,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,103,,,,,False,False,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
energy_above_hull,target,computed_property_target,,,Derived from parsed composition or metadata.,derived,,eV/atom,float64,838,0,0.0,838,698,0.0,0.048901150624092546,5.538618802559524,0.15836790966256073,False,False,False,True,False,"Materials Project computed target, not a descriptor.",Computed stability proxy; not experimental stability.,complete,Not a primary feature.
